	Vanilla SPC	Vanilla iterations	vanilla time	beta SPC	beta iterations	beta time	Karakosta SPC	karakosta iterations	karakosta time			two_approx time
1	1091.6	13.1	0.3436039209	3613	345.9	0.9789411068	722.8	360.4	1.3437720776	877.4	390.6	2.0797832727
0.5	7919.9	736.4	2.1248150349	9431.2	900.6	2.3622477055	1850.2	924.1	3.5128349066	2566.4	996.8	5.0763247728
0.4	11209.1	1040.3	2.5695506811	13330.5	1271.1	3.1432066917	2599.6	1298.8	4.8908229113	3371	1399.1	6.2970471144
0.3	17956.3	1661.1	4.2019574404	21299.9	2026.7	5.3038746119	4125.4	2061.7	7.6688495398	5008.2	2217.7	9.3294909954
0.2	36107.8	3329.1	8.7016567707	42758	4056.2	10.1740115881	8214	4106	15.3369592428	9389.4	4408.3	17.6938102007
0.1	127812.2	11750.2	28.6612202406	150861.8	14296	34.2884695768	28784.2	14391.1	56.2259272814	31401.4	15414.3	62.2292304993
0.05	478617.7	43977.5	102.544776249	564209.6	53461.2	119.993947124	107296.6	53647.3	202.879579377	115321.6	57374.4	224.217341065
