	Vanilla SPC	Vanilla iterations	vanilla time	beta SPC	beta iterations	beta time	Karakosta SPC	karakosta iterations	karakosta time			two_approx time
	47460.7	559.5	9.164827466	103298.2	9207.1	20.2229729176	9512.6	9511.6	68.1799081087			4.48226928711E-005
	74156.6	762.4	17.5243108988	180478	16534.8	41.9344355583	33371.6	16684.8	72.7469906569			2.53438949585E-005
	73685.8	814.4	17.8534990072	169872.6	15486.5	43.5828979731	46811.7	15602.9	55.1465649605			2.50101089478E-005
	89076.2	1071.4	24.1635388851	232650.9	21455.3	63.5548983574	214563	21455.3	75.8927700996			2.23636627197E-005
