	Vanilla SPC	Vanilla iterations	vanilla time	beta SPC	beta iterations	beta time	Karakosta SPC	karakosta iterations	karakosta time			two_approx time
	53783.1	647.8	5.247196722	144537.9	13336.5	14.2241335154	26962.2	13480.1	39.0779490232			0.000025773
	57873.2	690.2	13.7912807226	182027.5	17562.5	42.6420273781	35217	17607.5	67.7742600203			2.31266021729E-005
	81438.9	959.9	30.9576407909	193612.4	17712.3	72.6584037304	35638	17818	86.8588675737			2.67028808594E-005
	69698	735.4	35.5156689882	202913.6	19036.3	110.90198524	38320.2	19159.1	109.212547946			2.27451324463E-005
